SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
47,72,0.18274111675126903,1. ANDREA ALEMANNI (9) | 2. CARLA CONSUELO FERMARIELLO (7) | 3. MAURIZIO VELOCCIA (4) | 4. SABRINA ALFONSI (4) | 5. GIOVANNI ZANNOLA (3) | 6. SVETLANA CELLI (3) | 7. YURI TROMBETTI (3) | 8. DANIELE PARRUCCI (2) | 9. FABRIZIO RUFO (2) | 10. LORENZO MARINONE (2),comune_2021
48,96,0.21286031042128603,1. ANDREA ALEMANNI (13) | 2. SVETLANA CELLI (8) | 3. CARLA CONSUELO FERMARIELLO (7) | 4. SABRINA ALFONSI (4) | 5. UBALDO RIGHETTI (4) | 6. CLAUDIA PAPPATA' (3) | 7. FLAVIA RESTIVO (2) | 8. GIULIA TEMPESTA (2) | 9. ANTONELLA MELITO (1) | 10. DANIELE PARRUCCI (1),comune_2021
49,90,0.2200488997555012,1. ANDREA ALEMANNI (19) | 2. CARLA CONSUELO FERMARIELLO (14) | 3. YURI TROMBETTI (14) | 4. SVETLANA CELLI (11) | 5. CLAUDIA PAPPATA' (3) | 6. MARIANO ANGELUCCI (3) | 7. DANIELE PARRUCCI (2) | 8. FABRIZIO RUFO (2) | 9. ILARIA PICCOLO (2) | 10. MAURIZIO VELOCCIA (2),comune_2021
50,90,0.18480492813141683,1. ANDREA ALEMANNI (22) | 2. SVETLANA CELLI (15) | 3. CARLA CONSUELO FERMARIELLO (5) | 4. CLAUDIA PAPPATA' (3) | 5. VALERIA BAGLIO (3) | 6. FABRIZIO RUFO (2) | 7. NELLA CONVERTI (2) | 8. CLAUDIO PARAVATI (1) | 9. DANIELE PARRUCCI (1) | 10. DARIO MARCUCCI (1),comune_2021
51,78,0.19306930693069307,1. ANDREA ALEMANNI (15) | 2. SVETLANA CELLI (12) | 3. CARLA CONSUELO FERMARIELLO (5) | 4. YURI TROMBETTI (4) | 5. GIOVANNI ZANNOLA (3) | 6. MAURIZIO VELOCCIA (3) | 7. ANTONIO STAMPETE (2) | 8. SABRINA ALFONSI (2) | 9. ANTONELLA MELITO (1) | 10. CLAUDIA PAPPATA' (1),comune_2021
52,105,0.21560574948665298,1. ANDREA ALEMANNI (16) | 2. FABRIZIO RUFO (12) | 3. SVETLANA CELLI (11) | 4. NELLA CONVERTI (5) | 5. CARLA CONSUELO FERMARIELLO (4) | 6. DARIO MARCUCCI (4) | 7. YURI TROMBETTI (4) | 8. MONICA MORICONI (3) | 9. GIULIA TEMPESTA (2) | 10. SABRINA ALFONSI (2),comune_2021
53,90,0.20134228187919462,1. ANDREA ALEMANNI (13) | 2. CARLA CONSUELO FERMARIELLO (12) | 3. YURI TROMBETTI (5) | 4. MAURIZIO VELOCCIA (4) | 5. PIERO SANDULLI (4) | 6. DARIO MARCUCCI (3) | 7. ANTONELLA MELITO (2) | 8. FLAVIA RESTIVO (2) | 9. Lucia Lidia GUZMAN (2) | 10. OLIMPIA TROILI (2),comune_2021
54,104,0.20553359683794467,1. ANDREA ALEMANNI (19) | 2. CARLA CONSUELO FERMARIELLO (12) | 3. CLAUDIA PAPPATA' (6) | 4. NELLA CONVERTI (6) | 5. SVETLANA CELLI (6) | 6. FABRIZIO RUFO (5) | 7. MASSIMO DE SIMONI (3) | 8. DARIO MARCUCCI (2) | 9. GIAMMARCO PALMIERI (1) | 10. GIULIA TEMPESTA (1),comune_2021
55,69,0.2084592145015106,1. ANDREA ALEMANNI (8) | 2. CARLA CONSUELO FERMARIELLO (6) | 3. SVETLANA CELLI (5) | 4. SABRINA ALFONSI (4) | 5. YURI TROMBETTI (3) | 6. JULIAN COLABELLO (2) | 7. LORENZO MARINONE (2) | 8. MAURIZIO VELOCCIA (2) | 9. MONICA MORICONI (2) | 10. ANTONIO STAMPETE (1),comune_2021
56,108,0.26024096385542167,1. ANDREA ALEMANNI (17) | 2. CARLA CONSUELO FERMARIELLO (12) | 3. SVETLANA CELLI (6) | 4. MAURIZIO VELOCCIA (4) | 5. SABRINA ALFONSI (4) | 6. CRISTINA MICHETELLI (3) | 7. FABRIZIO RUFO (3) | 8. CLAUDIA PAPPATA' (2) | 9. PIERO SANDULLI (2) | 10. RICCARDO CORBUCCI (2),comune_2021
