SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
113,48,0.1509433962264151,1. FEDERICA RAMPINI (4) | 2. LORENZO SPIZZICHINO (3) | 3. ANTONIO COMITO (2) | 4. FILIPPO MARIA LAGUZZI (2) | 5. MATTEO PIETROSANTE (2) | 6. MONICA MAGGI (2) | 7. GABRIELE CARRADORI (1) | 8. MARIA TERESA ELLUL (1) | 9. NASTASSJA HABDANK (1) | 10. NICOLETTA FUNGHI (1),municipio3_2021
114,104,0.1918819188191882,1. ANTONIO COMITO (6) | 2. CESARE ALFIDI (5) | 3. FILIPPO MARIA LAGUZZI (5) | 4. LUIGI MAIO (5) | 5. FEDERICA RAMPINI (4) | 6. NASTASSJA HABDANK (3) | 7. ORNELLA LOVELLO (3) | 8. PAOLA CAVALIERI (3) | 9. NICOLETTA FUNGHI (2) | 10. ROBERTO CASAMENTO (2),municipio3_2021
115,67,0.1595238095238095,1. FILIPPO MARIA LAGUZZI (6) | 2. FEDERICA RAMPINI (5) | 3. MONICA MAGGI (5) | 4. ROBERTO CASAMENTO (4) | 5. SIMONA SORTINO (2) | 6. CESARE ALFIDI (1) | 7. LORENZO SPIZZICHINO (1) | 8. MARIA TERESA ELLUL (1) | 9. MATTEO PIETROSANTE (1) | 10. NICOLETTA FUNGHI (1),municipio3_2021
116,44,0.11224489795918367,1. GABRIELE CARRADORI (5) | 2. PAOLA CAVALIERI (5) | 3. ANTONIO COMITO (4) | 4. ROBERTO CASAMENTO (4) | 5. NICOLETTA FUNGHI (2) | 6. FILIPPO MARIA LAGUZZI (1) | 7. GABRIELE MICHELI (1) | 8. LORENZO SPIZZICHINO (1) | 9. MONICA MAGGI (1) | 10. NASTASSJA HABDANK (1),municipio3_2021
117,67,0.1763157894736842,1. GABRIELE CARRADORI (6) | 2. NICOLETTA FUNGHI (5) | 3. ANTONIO COMITO (4) | 4. CESARE ALFIDI (1) | 5. FEDERICA RAMPINI (1) | 6. LORENZO SPIZZICHINO (1) | 7. LUIGI MAIO (1) | 8. MARIA TERESA ELLUL (1) | 9. MATTEO PIETROSANTE (1) | 10. MONICA MAGGI (1),municipio3_2021
118,68,0.19883040935672514,1. GABRIELE CARRADORI (5) | 2. NASTASSJA HABDANK (5) | 3. NICOLETTA FUNGHI (5) | 4. MONICA MAGGI (4) | 5. ROBERTO CASAMENTO (3) | 6. ANTONIO COMITO (2) | 7. FILIPPO MARIA LAGUZZI (2) | 8. GABRIELE MICHELI (1) | 9. MATTEO PIETROSANTE (1) | 10. PAOLA CAVALIERI (1),municipio3_2021
119,66,0.18591549295774648,1. NASTASSJA HABDANK (4) | 2. ROBERTO CASAMENTO (3) | 3. FILIPPO MARIA LAGUZZI (2) | 4. GABRIELE CARRADORI (2) | 5. ITALO DELLA BELLA (2) | 6. LORENZO SPIZZICHINO (2) | 7. LUIGI MAIO (2) | 8. MARIA TERESA ELLUL (2) | 9. ANTONIO COMITO (1) | 10. GABRIELE MICHELI (1),municipio3_2021
207,94,0.19624217118997914,1. NASTASSJA HABDANK (5) | 2. FEDERICA RAMPINI (3) | 3. ITALO DELLA BELLA (3) | 4. PAOLA CAVALIERI (3) | 5. CESARE ALFIDI (2) | 6. MARIA ANTONIETTA DEL MORO (2) | 7. MATTEO PIETROSANTE (2) | 8. NICOLETTA FUNGHI (2) | 9. SIMONA RUSSO (2) | 10. SIMONA SORTINO (2),municipio3_2021
208,100,0.20618556701030927,1. FEDERICA RAMPINI (7) | 2. FILIPPO MARIA LAGUZZI (7) | 3. LUIGI MAIO (7) | 4. ANTONIO COMITO (6) | 5. MARIA ANTONIETTA DEL MORO (3) | 6. MATTEO PIETROSANTE (3) | 7. NASTASSJA HABDANK (3) | 8. NICOLETTA FUNGHI (2) | 9. GABRIELE CARRADORI (1) | 10. GABRIELE MICHELI (1),municipio3_2021
209,106,0.22268907563025211,1. FILIPPO MARIA LAGUZZI (5) | 2. FEDERICA RAMPINI (4) | 3. CESARE ALFIDI (3) | 4. ROBERTO CASAMENTO (3) | 5. SILVIA DE ROSA (3) | 6. MARIA ANTONIETTA DEL MORO (2) | 7. PAOLA CAVALIERI (2) | 8. SIMONA RUSSO (2) | 9. SIMONA SORTINO (2) | 10. ANTONIO COMITO (1),municipio3_2021
210,87,0.19078947368421054,1. FEDERICA RAMPINI (10) | 2. FILIPPO MARIA LAGUZZI (5) | 3. LORENZO SPIZZICHINO (3) | 4. LUIGI MAIO (3) | 5. MIRKO MANFRE' (3) | 6. PAOLA CAVALIERI (3) | 7. GABRIELE CARRADORI (2) | 8. CESARE ALFIDI (1) | 9. NICOLETTA FUNGHI (1) | 10. ORNELLA LOVELLO (1),municipio3_2021
